signal_date,available_date,MLP
2020-01-02,2020-01-03,0.31640625
2020-01-03,2020-01-06,0.2890625
2020-01-06,2020-01-07,0.51171875
2020-01-07,2020-01-08,0.375
2020-01-08,2020-01-09,0.28515625
2020-01-09,2020-01-10,-0.0673828125
2020-01-10,2020-01-13,0.234375
2020-01-13,2020-01-14,0.11572265625
2020-01-14,2020-01-15,0.54296875
2020-01-15,2020-01-16,0.63671875
2020-01-16,2020-01-17,0.447265625
2020-01-17,2020-01-20,0.220703125
2020-01-20,2020-01-21,0.267578125
2020-01-21,2020-01-22,0.77734375
2020-01-22,2020-01-23,0.43359375
2020-01-23,2020-02-03,0.5
2020-02-03,2020-02-04,0.34765625
2020-02-04,2020-02-05,0.734375
2020-02-05,2020-02-06,0.5390625
2020-02-06,2020-02-07,0.57421875
2020-02-07,2020-02-10,1.0390625
2020-02-10,2020-02-11,0.95703125
2020-02-11,2020-02-12,0.5390625
2020-02-12,2020-02-13,0.96484375
2020-02-13,2020-02-14,1.15625
2020-02-14,2020-02-17,0.306640625
2020-02-17,2020-02-18,1.0234375
2020-02-18,2020-02-19,0.78125
2020-02-19,2020-02-20,0.9140625
2020-02-20,2020-02-21,1.0625
2020-02-21,2020-02-24,0.91796875
2020-02-24,2020-02-25,0.9921875
2020-02-25,2020-02-26,0.404296875
2020-02-26,2020-02-27,-0.7578125
2020-02-27,2020-02-28,-0.08935546875
2020-02-28,2020-03-02,-0.0927734375
2020-03-02,2020-03-03,0.8203125
2020-03-03,2020-03-04,0.53515625
2020-03-04,2020-03-05,0.0673828125
2020-03-05,2020-03-06,0.306640625
2020-03-06,2020-03-09,0.1689453125
2020-03-09,2020-03-10,0.2255859375
2020-03-10,2020-03-11,0.419921875
2020-03-11,2020-03-12,0.294921875
2020-03-12,2020-03-13,0.56640625
2020-03-13,2020-03-16,0.259765625
2020-03-16,2020-03-17,-0.435546875
2020-03-17,2020-03-18,-0.44140625
2020-03-18,2020-03-19,-0.60546875
2020-03-19,2020-03-20,-0.462890625
2020-03-20,2020-03-23,-0.020263671875
2020-03-23,2020-03-24,-0.212890625
2020-03-24,2020-03-25,-0.546875
2020-03-25,2020-03-26,0.034912109375
2020-03-26,2020-03-27,-0.3828125
2020-03-27,2020-03-30,0.28515625
2020-03-30,2020-03-31,0.107421875
2020-03-31,2020-04-01,-0.037353515625
2020-04-01,2020-04-02,0.380859375
2020-04-02,2020-04-03,0.08837890625
2020-04-03,2020-04-07,0.41015625
2020-04-07,2020-04-08,0.287109375
2020-04-08,2020-04-09,0.4296875
2020-04-09,2020-04-10,0.703125
2020-04-10,2020-04-13,-0.5703125
2020-04-13,2020-04-14,-0.11328125
2020-04-14,2020-04-15,-0.07568359375
2020-04-15,2020-04-16,0.189453125
2020-04-16,2020-04-17,0.458984375
2020-04-17,2020-04-20,0.43359375
2020-04-20,2020-04-21,0.62890625
2020-04-21,2020-04-22,0.06494140625
2020-04-22,2020-04-23,0.48828125
2020-04-23,2020-04-24,0.5078125
2020-04-24,2020-04-27,-0.2431640625
2020-04-27,2020-04-28,0.0693359375
2020-04-28,2020-04-29,0.08984375
2020-04-29,2020-04-30,0.1904296875
2020-04-30,2020-05-06,0.6328125
2020-05-06,2020-05-07,0.59765625
2020-05-07,2020-05-08,0.4765625
2020-05-08,2020-05-11,0.1650390625
2020-05-11,2020-05-12,0.2314453125
2020-05-12,2020-05-13,0.443359375
2020-05-13,2020-05-14,0.81640625
2020-05-14,2020-05-15,0.89453125
2020-05-15,2020-05-18,0.75
2020-05-18,2020-05-19,0.447265625
2020-05-19,2020-05-20,0.52734375
2020-05-20,2020-05-21,0.484375
2020-05-21,2020-05-22,0.625
2020-05-22,2020-05-25,0.53125
2020-05-25,2020-05-26,0.0576171875
2020-05-26,2020-05-27,0.52734375
2020-05-27,2020-05-28,0.330078125
2020-05-28,2020-05-29,0.32421875
2020-05-29,2020-06-01,0.6953125
2020-06-01,2020-06-02,-0.002410888671875
2020-06-02,2020-06-03,-0.08203125
2020-06-03,2020-06-04,0.46875
2020-06-04,2020-06-05,0.05712890625
2020-06-05,2020-06-08,0.4765625
2020-06-08,2020-06-09,0.1279296875
2020-06-09,2020-06-10,0.48046875
2020-06-10,2020-06-11,0.0281982421875
2020-06-11,2020-06-12,0.357421875
2020-06-12,2020-06-15,0.71484375
2020-06-15,2020-06-16,0.546875
2020-06-16,2020-06-17,0.283203125
2020-06-17,2020-06-18,0.0035400390625
2020-06-18,2020-06-19,0.212890625
2020-06-19,2020-06-22,0.2275390625
2020-06-22,2020-06-23,0.6015625
2020-06-23,2020-06-24,0.455078125
2020-06-24,2020-06-29,0.271484375
2020-06-29,2020-06-30,0.59375
2020-06-30,2020-07-01,-0.12353515625
2020-07-01,2020-07-02,0.1337890625
2020-07-02,2020-07-03,0.2109375
2020-07-03,2020-07-06,0.1416015625
2020-07-06,2020-07-07,0.197265625
2020-07-07,2020-07-08,0.2431640625
2020-07-08,2020-07-09,0.400390625
2020-07-09,2020-07-10,0.39453125
2020-07-10,2020-07-13,0.0283203125
2020-07-13,2020-07-14,-0.2236328125
2020-07-14,2020-07-15,-0.49609375
2020-07-15,2020-07-16,-0.447265625
2020-07-16,2020-07-17,0.193359375
2020-07-17,2020-07-20,0.13671875
2020-07-20,2020-07-21,-0.0274658203125
2020-07-21,2020-07-22,0.119140625
2020-07-22,2020-07-23,0.3203125
2020-07-23,2020-07-24,0.189453125
2020-07-24,2020-07-27,0.416015625
2020-07-27,2020-07-28,0.390625
2020-07-28,2020-07-29,0.212890625
2020-07-29,2020-07-30,0.74609375
2020-07-30,2020-07-31,0.1845703125
2020-07-31,2020-08-03,-0.06298828125
2020-08-03,2020-08-04,0.14453125
2020-08-04,2020-08-05,0.1357421875
2020-08-05,2020-08-06,0.240234375
2020-08-06,2020-08-07,0.0869140625
2020-08-07,2020-08-10,0.138671875
2020-08-10,2020-08-11,0.2255859375
2020-08-11,2020-08-12,0.458984375
2020-08-12,2020-08-13,0.1806640625
2020-08-13,2020-08-14,0.310546875
2020-08-14,2020-08-17,-0.043212890625
2020-08-17,2020-08-18,0.2470703125
2020-08-18,2020-08-19,0.4140625
2020-08-19,2020-08-20,0.439453125
2020-08-20,2020-08-21,0.2021484375
2020-08-21,2020-08-24,-0.1357421875
2020-08-24,2020-08-25,-0.0091552734375
2020-08-25,2020-08-26,0.33203125
2020-08-26,2020-08-27,0.259765625
2020-08-27,2020-08-28,0.224609375
2020-08-28,2020-08-31,0.1923828125
2020-08-31,2020-09-01,0.291015625
2020-09-01,2020-09-02,0.5234375
2020-09-02,2020-09-03,0.6171875
2020-09-03,2020-09-04,0.5078125
2020-09-04,2020-09-07,0.62890625
2020-09-07,2020-09-08,0.048095703125
2020-09-08,2020-09-09,0.1513671875
2020-09-09,2020-09-10,0.3203125
2020-09-10,2020-09-11,0.62890625
2020-09-11,2020-09-14,0.625
2020-09-14,2020-09-15,0.6328125
2020-09-15,2020-09-16,0.359375
2020-09-16,2020-09-17,0.357421875
2020-09-17,2020-09-18,0.375
2020-09-18,2020-09-21,0.302734375
2020-09-21,2020-09-22,0.4453125
2020-09-22,2020-09-23,0.419921875
2020-09-23,2020-09-24,0.59375
2020-09-24,2020-09-25,0.5546875
2020-09-25,2020-09-28,0.64453125
2020-09-28,2020-09-29,0.44140625
2020-09-29,2020-09-30,0.376953125
2020-09-30,2020-10-09,0.2734375
2020-10-09,2020-10-12,0.2236328125
2020-10-12,2020-10-13,0.55078125
2020-10-13,2020-10-14,0.66015625
2020-10-14,2020-10-15,0.5625
2020-10-15,2020-10-16,0.498046875
2020-10-16,2020-10-19,0.0162353515625
2020-10-19,2020-10-20,0.1337890625
2020-10-20,2020-10-21,-0.14453125
2020-10-21,2020-10-22,0.76171875
2020-10-22,2020-10-23,0.392578125
2020-10-23,2020-10-26,0.4140625
2020-10-26,2020-10-27,0.388671875
2020-10-27,2020-10-28,0.16796875
2020-10-28,2020-10-29,0.06298828125
2020-10-29,2020-10-30,0.2578125
2020-10-30,2020-11-02,0.0927734375
2020-11-02,2020-11-03,-0.0634765625
2020-11-03,2020-11-04,-0.03369140625
2020-11-04,2020-11-05,-0.375
2020-11-05,2020-11-06,0.095703125
2020-11-06,2020-11-09,0.03271484375
2020-11-09,2020-11-10,0.166015625
2020-11-10,2020-11-11,0.2099609375
2020-11-11,2020-11-12,0.2490234375
2020-11-12,2020-11-13,0.40625
2020-11-13,2020-11-16,0.431640625
2020-11-16,2020-11-17,0.2109375
2020-11-17,2020-11-18,0.181640625
2020-11-18,2020-11-19,0.326171875
2020-11-19,2020-11-20,0.349609375
2020-11-20,2020-11-23,0.6328125
2020-11-23,2020-11-24,0.62890625
2020-11-24,2020-11-25,0.66015625
2020-11-25,2020-11-26,0.6953125
2020-11-26,2020-11-27,0.58203125
2020-11-27,2020-11-30,0.64453125
2020-11-30,2020-12-01,0.7734375
2020-12-01,2020-12-02,0.412109375
2020-12-02,2020-12-03,0.357421875
2020-12-03,2020-12-04,0.4140625
2020-12-04,2020-12-07,0.310546875
2020-12-07,2020-12-08,0.4375
2020-12-08,2020-12-09,0.486328125
2020-12-09,2020-12-10,0.470703125
2020-12-10,2020-12-11,0.5703125
2020-12-11,2020-12-14,0.5546875
2020-12-14,2020-12-15,0.33203125
2020-12-15,2020-12-16,0.384765625
2020-12-16,2020-12-17,0.30859375
2020-12-17,2020-12-18,0.244140625
2020-12-18,2020-12-21,0.1982421875
2020-12-21,2020-12-22,0.0123291015625
2020-12-22,2020-12-23,0.263671875
2020-12-23,2020-12-24,0.416015625
2020-12-24,2020-12-25,0.470703125
2020-12-25,2020-12-28,0.2216796875
2020-12-28,2020-12-29,0.5625
2020-12-29,2020-12-30,0.07666015625
2020-12-30,2020-12-31,0.53125
2020-12-31,2021-01-04,0.298828125
2021-01-04,2021-01-05,0.2490234375
2021-01-05,2021-01-06,0.4609375
2021-01-06,2021-01-07,0.408203125
2021-01-07,2021-01-08,0.396484375
2021-01-08,2021-01-11,0.306640625
2021-01-11,2021-01-12,0.1865234375
2021-01-12,2021-01-13,0.1552734375
2021-01-13,2021-01-14,0.228515625
2021-01-14,2021-01-15,0.267578125
2021-01-15,2021-01-18,0.3125
2021-01-18,2021-01-19,0.2890625
2021-01-19,2021-01-20,0.216796875
2021-01-20,2021-01-21,0.1435546875
2021-01-21,2021-01-22,0.474609375
2021-01-22,2021-01-25,0.373046875
2021-01-25,2021-01-26,0.443359375
2021-01-26,2021-01-27,0.2470703125
2021-01-27,2021-01-28,0.150390625
2021-01-28,2021-01-29,0.1494140625
2021-01-29,2021-02-01,-0.036376953125
2021-02-01,2021-02-02,0.14453125
2021-02-02,2021-02-03,0.10302734375
2021-02-03,2021-02-04,-0.6171875
2021-02-04,2021-02-05,-0.06396484375
2021-02-05,2021-02-08,0.09326171875
2021-02-08,2021-02-09,0.5
2021-02-09,2021-02-10,0.111328125
2021-02-10,2021-02-18,0.1767578125
2021-02-18,2021-02-19,0.470703125
2021-02-19,2021-02-22,0.58203125
2021-02-22,2021-02-23,0.46875
2021-02-23,2021-02-24,0.32421875
2021-02-24,2021-02-25,0.57421875
2021-02-25,2021-02-26,0.2451171875
2021-02-26,2021-03-01,0.484375
2021-03-01,2021-03-02,0.271484375
2021-03-02,2021-03-03,-0.056884765625
2021-03-03,2021-03-04,0.255859375
2021-03-04,2021-03-05,0.283203125
2021-03-05,2021-03-08,0.2734375
2021-03-08,2021-03-09,0.2451171875
2021-03-09,2021-03-10,0.1689453125
2021-03-10,2021-03-11,0.0673828125
2021-03-11,2021-03-12,0.06689453125
2021-03-12,2021-03-15,0.306640625
2021-03-15,2021-03-16,0.326171875
2021-03-16,2021-03-17,0.267578125
2021-03-17,2021-03-18,0.474609375
2021-03-18,2021-03-19,0.4140625
2021-03-19,2021-03-22,0.41796875
2021-03-22,2021-03-23,0.251953125
2021-03-23,2021-03-24,0.2490234375
2021-03-24,2021-03-25,0.12451171875
2021-03-25,2021-03-26,0.1630859375
2021-03-26,2021-03-29,0.2001953125
2021-03-29,2021-03-30,0.1728515625
2021-03-30,2021-03-31,0.26953125
2021-03-31,2021-04-01,0.408203125
2021-04-01,2021-04-02,0.5390625
2021-04-02,2021-04-06,0.326171875
2021-04-06,2021-04-07,0.37109375
2021-04-07,2021-04-08,0.58203125
2021-04-08,2021-04-09,0.68359375
2021-04-09,2021-04-12,0.66796875
2021-04-12,2021-04-13,0.59765625
2021-04-13,2021-04-14,0.734375
2021-04-14,2021-04-15,0.53125
2021-04-15,2021-04-16,0.65625
2021-04-16,2021-04-19,0.640625
2021-04-19,2021-04-20,0.68359375
2021-04-20,2021-04-21,0.5625
2021-04-21,2021-04-22,0.58984375
2021-04-22,2021-04-23,0.515625
2021-04-23,2021-04-26,0.61328125
2021-04-26,2021-04-27,0.59765625
2021-04-27,2021-04-28,0.77734375
2021-04-28,2021-04-29,0.6640625
2021-04-29,2021-04-30,0.50390625
2021-04-30,2021-05-06,0.515625
2021-05-06,2021-05-07,0.451171875
2021-05-07,2021-05-10,0.349609375
2021-05-10,2021-05-11,0.38671875
2021-05-11,2021-05-12,0.478515625
2021-05-12,2021-05-13,0.47265625
2021-05-13,2021-05-14,0.294921875
2021-05-14,2021-05-17,0.46484375
2021-05-17,2021-05-18,0.41015625
2021-05-18,2021-05-19,0.3828125
2021-05-19,2021-05-20,0.1875
2021-05-20,2021-05-21,0.1904296875
2021-05-21,2021-05-24,0.328125
2021-05-24,2021-05-25,-0.142578125
2021-05-25,2021-05-26,0.057373046875
2021-05-26,2021-05-27,0.099609375
2021-05-27,2021-05-28,0.1455078125
2021-05-28,2021-05-31,0.287109375
2021-05-31,2021-06-01,0.375
2021-06-01,2021-06-02,0.515625
2021-06-02,2021-06-03,0.25
2021-06-03,2021-06-04,0.408203125
2021-06-04,2021-06-07,0.1787109375
2021-06-07,2021-06-08,0.1123046875
2021-06-08,2021-06-09,0.392578125
2021-06-09,2021-06-10,0.58203125
2021-06-10,2021-06-11,0.53515625
2021-06-11,2021-06-15,0.64453125
2021-06-15,2021-06-16,0.5390625
2021-06-16,2021-06-17,0.498046875
2021-06-17,2021-06-18,0.427734375
2021-06-18,2021-06-21,0.26953125
2021-06-21,2021-06-22,0.1455078125
2021-06-22,2021-06-23,0.043701171875
2021-06-23,2021-06-24,0.291015625
2021-06-24,2021-06-25,0.271484375
2021-06-25,2021-06-28,0.1669921875
2021-06-28,2021-06-29,0.376953125
2021-06-29,2021-06-30,0.5234375
2021-06-30,2021-07-01,0.421875
2021-07-01,2021-07-02,0.73828125
2021-07-02,2021-07-05,0.412109375
2021-07-05,2021-07-06,0.97265625
2021-07-06,2021-07-07,0.77734375
2021-07-07,2021-07-08,0.349609375
2021-07-08,2021-07-09,0.458984375
2021-07-09,2021-07-12,0.515625
2021-07-12,2021-07-13,0.515625
2021-07-13,2021-07-14,0.77734375
2021-07-14,2021-07-15,0.78125
2021-07-15,2021-07-16,0.515625
2021-07-16,2021-07-19,0.455078125
2021-07-19,2021-07-20,0.380859375
2021-07-20,2021-07-21,0.5078125
2021-07-21,2021-07-22,0.7578125
2021-07-22,2021-07-23,0.78125
2021-07-23,2021-07-26,0.63671875
2021-07-26,2021-07-27,0.404296875
2021-07-27,2021-07-28,0.2890625
2021-07-28,2021-07-29,0.63671875
2021-07-29,2021-07-30,0.6171875
2021-07-30,2021-08-02,0.94921875
2021-08-02,2021-08-03,0.72265625
2021-08-03,2021-08-04,0.80078125
2021-08-04,2021-08-05,0.5625
2021-08-05,2021-08-06,0.73046875
2021-08-06,2021-08-09,0.6953125
2021-08-09,2021-08-10,0.734375
2021-08-10,2021-08-11,0.80859375
2021-08-11,2021-08-12,0.9375
2021-08-12,2021-08-13,0.85546875
2021-08-13,2021-08-16,0.78515625
2021-08-16,2021-08-17,0.5
2021-08-17,2021-08-18,0.0908203125
2021-08-18,2021-08-19,0.439453125
2021-08-19,2021-08-20,0.34375
2021-08-20,2021-08-23,0.08935546875
2021-08-23,2021-08-24,0.29296875
2021-08-24,2021-08-25,0.484375
2021-08-25,2021-08-26,0.306640625
2021-08-26,2021-08-27,0.30859375
2021-08-27,2021-08-30,0.68359375
2021-08-30,2021-08-31,0.27734375
2021-08-31,2021-09-01,0.84765625
2021-09-01,2021-09-02,0.78125
2021-09-02,2021-09-03,0.796875
2021-09-03,2021-09-06,0.79296875
2021-09-06,2021-09-07,0.92578125
2021-09-07,2021-09-08,0.90234375
2021-09-08,2021-09-09,0.8984375
2021-09-09,2021-09-10,0.9375
2021-09-10,2021-09-13,0.7890625
2021-09-13,2021-09-14,0.78515625
2021-09-14,2021-09-15,0.84765625
2021-09-15,2021-09-16,0.72265625
2021-09-16,2021-09-17,0.77734375
2021-09-17,2021-09-22,0.61328125
2021-09-22,2021-09-23,0.7578125
2021-09-23,2021-09-24,0.69921875
2021-09-24,2021-09-27,0.7734375
2021-09-27,2021-09-28,0.25390625
2021-09-28,2021-09-29,0.380859375
2021-09-29,2021-09-30,0.55078125
2021-09-30,2021-10-08,0.55859375
2021-10-08,2021-10-11,0.451171875
2021-10-11,2021-10-12,0.42578125
2021-10-12,2021-10-13,0.53125
2021-10-13,2021-10-14,0.4765625
2021-10-14,2021-10-15,0.3046875
2021-10-15,2021-10-18,0.58984375
2021-10-18,2021-10-19,0.75390625
2021-10-19,2021-10-20,0.3359375
2021-10-20,2021-10-21,-0.1865234375
2021-10-21,2021-10-22,-0.18359375
2021-10-22,2021-10-25,0.0296630859375
2021-10-25,2021-10-26,0.20703125
2021-10-26,2021-10-27,0.1630859375
2021-10-27,2021-10-28,0.322265625
2021-10-28,2021-10-29,0.1318359375
2021-10-29,2021-11-01,0.30859375
2021-11-01,2021-11-02,-0.0181884765625
2021-11-02,2021-11-03,-0.3125
2021-11-03,2021-11-04,-0.1357421875
2021-11-04,2021-11-05,0.1611328125
2021-11-05,2021-11-08,0.5625
2021-11-08,2021-11-09,0.40234375
2021-11-09,2021-11-10,0.63671875
2021-11-10,2021-11-11,0.609375
2021-11-11,2021-11-12,0.4765625
2021-11-12,2021-11-15,0.40625
2021-11-15,2021-11-16,0.07666015625
2021-11-16,2021-11-17,0.71875
2021-11-17,2021-11-18,0.69140625
2021-11-18,2021-11-19,0.671875
2021-11-19,2021-11-22,0.69140625
