signal_date,available_date,MLP
2020-01-02,2020-01-03,0.453125
2020-01-03,2020-01-06,0.5078125
2020-01-06,2020-01-07,0.265625
2020-01-07,2020-01-08,0.53515625
2020-01-08,2020-01-09,0.51953125
2020-01-09,2020-01-10,0.33984375
2020-01-10,2020-01-13,0.421875
2020-01-13,2020-01-14,0.3671875
2020-01-14,2020-01-15,0.040771484375
2020-01-15,2020-01-16,0.63671875
2020-01-16,2020-01-17,0.59765625
2020-01-17,2020-01-20,0.216796875
2020-01-20,2020-01-21,0.44140625
2020-01-21,2020-01-22,0.9296875
2020-01-22,2020-01-23,0.95703125
2020-01-23,2020-02-03,0.859375
2020-02-03,2020-02-04,0.81640625
2020-02-04,2020-02-05,0.6953125
2020-02-05,2020-02-06,0.765625
2020-02-06,2020-02-07,0.859375
2020-02-07,2020-02-10,1.046875
2020-02-10,2020-02-11,1.0
2020-02-11,2020-02-12,0.53515625
2020-02-12,2020-02-13,0.6953125
2020-02-13,2020-02-14,0.85546875
2020-02-14,2020-02-17,0.640625
2020-02-17,2020-02-18,0.474609375
2020-02-18,2020-02-19,0.609375
2020-02-19,2020-02-20,0.79296875
2020-02-20,2020-02-21,0.7578125
2020-02-21,2020-02-24,0.86328125
2020-02-24,2020-02-25,0.98828125
2020-02-25,2020-02-26,1.015625
2020-02-26,2020-02-27,0.8046875
2020-02-27,2020-02-28,0.796875
2020-02-28,2020-03-02,0.71875
2020-03-02,2020-03-03,0.68359375
2020-03-03,2020-03-04,0.78515625
2020-03-04,2020-03-05,0.54296875
2020-03-05,2020-03-06,0.921875
2020-03-06,2020-03-09,1.1640625
2020-03-09,2020-03-10,0.921875
2020-03-10,2020-03-11,1.2109375
2020-03-11,2020-03-12,0.98046875
2020-03-12,2020-03-13,0.9609375
2020-03-13,2020-03-16,0.796875
2020-03-16,2020-03-17,0.44140625
2020-03-17,2020-03-18,0.1796875
2020-03-18,2020-03-19,0.1376953125
2020-03-19,2020-03-20,0.318359375
2020-03-20,2020-03-23,0.6953125
2020-03-23,2020-03-24,-0.005889892578125
2020-03-24,2020-03-25,0.058837890625
2020-03-25,2020-03-26,0.390625
2020-03-26,2020-03-27,0.3359375
2020-03-27,2020-03-30,0.197265625
2020-03-30,2020-03-31,0.236328125
2020-03-31,2020-04-01,0.1484375
2020-04-01,2020-04-02,0.1259765625
2020-04-02,2020-04-03,0.41015625
2020-04-03,2020-04-07,0.23828125
2020-04-07,2020-04-08,0.388671875
2020-04-08,2020-04-09,0.27734375
2020-04-09,2020-04-10,-0.0218505859375
2020-04-10,2020-04-13,-0.0291748046875
2020-04-13,2020-04-14,-0.07763671875
2020-04-14,2020-04-15,0.166015625
2020-04-15,2020-04-16,0.234375
2020-04-16,2020-04-17,0.310546875
2020-04-17,2020-04-20,0.091796875
2020-04-20,2020-04-21,-0.00677490234375
2020-04-21,2020-04-22,0.2451171875
2020-04-22,2020-04-23,0.431640625
2020-04-23,2020-04-24,0.4765625
2020-04-24,2020-04-27,0.193359375
2020-04-27,2020-04-28,0.251953125
2020-04-28,2020-04-29,-0.0791015625
2020-04-29,2020-04-30,0.11474609375
2020-04-30,2020-05-06,0.66796875
2020-05-06,2020-05-07,0.74609375
2020-05-07,2020-05-08,0.828125
2020-05-08,2020-05-11,1.0703125
2020-05-11,2020-05-12,0.92578125
2020-05-12,2020-05-13,0.921875
2020-05-13,2020-05-14,0.98828125
2020-05-14,2020-05-15,0.8125
2020-05-15,2020-05-18,0.76171875
2020-05-18,2020-05-19,0.890625
2020-05-19,2020-05-20,0.8671875
2020-05-20,2020-05-21,0.5625
2020-05-21,2020-05-22,0.8671875
2020-05-22,2020-05-25,0.01031494140625
2020-05-25,2020-05-26,0.3046875
2020-05-26,2020-05-27,0.427734375
2020-05-27,2020-05-28,0.91015625
2020-05-28,2020-05-29,0.87109375
2020-05-29,2020-06-01,0.65234375
2020-06-01,2020-06-02,0.6328125
2020-06-02,2020-06-03,0.400390625
2020-06-03,2020-06-04,0.609375
2020-06-04,2020-06-05,0.56640625
2020-06-05,2020-06-08,0.4296875
2020-06-08,2020-06-09,0.1005859375
2020-06-09,2020-06-10,0.74609375
2020-06-10,2020-06-11,0.478515625
2020-06-11,2020-06-12,0.60546875
2020-06-12,2020-06-15,0.390625
2020-06-15,2020-06-16,0.13671875
2020-06-16,2020-06-17,0.29296875
2020-06-17,2020-06-18,0.30078125
2020-06-18,2020-06-19,-0.0771484375
2020-06-19,2020-06-22,-0.07958984375
2020-06-22,2020-06-23,0.034423828125
2020-06-23,2020-06-24,0.019287109375
2020-06-24,2020-06-29,-0.07763671875
2020-06-29,2020-06-30,0.040771484375
2020-06-30,2020-07-01,-0.1865234375
2020-07-01,2020-07-02,0.1328125
2020-07-02,2020-07-03,0.171875
2020-07-03,2020-07-06,0.6015625
2020-07-06,2020-07-07,0.51171875
2020-07-07,2020-07-08,0.69140625
2020-07-08,2020-07-09,0.91015625
2020-07-09,2020-07-10,0.67578125
2020-07-10,2020-07-13,0.71875
2020-07-13,2020-07-14,1.046875
2020-07-14,2020-07-15,0.9609375
2020-07-15,2020-07-16,1.1171875
2020-07-16,2020-07-17,0.75390625
2020-07-17,2020-07-20,0.67578125
2020-07-20,2020-07-21,0.6796875
2020-07-21,2020-07-22,0.64453125
2020-07-22,2020-07-23,0.8828125
2020-07-23,2020-07-24,0.59765625
2020-07-24,2020-07-27,0.65625
2020-07-27,2020-07-28,0.546875
2020-07-28,2020-07-29,0.5078125
2020-07-29,2020-07-30,0.66015625
2020-07-30,2020-07-31,0.08740234375
2020-07-31,2020-08-03,0.287109375
2020-08-03,2020-08-04,0.58203125
2020-08-04,2020-08-05,0.423828125
2020-08-05,2020-08-06,0.71484375
2020-08-06,2020-08-07,0.69140625
2020-08-07,2020-08-10,0.2431640625
2020-08-10,2020-08-11,0.498046875
2020-08-11,2020-08-12,0.74609375
2020-08-12,2020-08-13,0.7265625
2020-08-13,2020-08-14,0.66796875
2020-08-14,2020-08-17,0.63671875
2020-08-17,2020-08-18,0.67578125
2020-08-18,2020-08-19,0.6796875
2020-08-19,2020-08-20,0.43359375
2020-08-20,2020-08-21,0.365234375
2020-08-21,2020-08-24,0.62890625
2020-08-24,2020-08-25,0.50390625
2020-08-25,2020-08-26,0.6796875
2020-08-26,2020-08-27,0.56640625
2020-08-27,2020-08-28,0.435546875
2020-08-28,2020-08-31,0.466796875
2020-08-31,2020-09-01,0.5234375
2020-09-01,2020-09-02,0.28125
2020-09-02,2020-09-03,0.08349609375
2020-09-03,2020-09-04,0.11083984375
2020-09-04,2020-09-07,0.23046875
2020-09-07,2020-09-08,-0.0654296875
2020-09-08,2020-09-09,0.337890625
2020-09-09,2020-09-10,0.119140625
2020-09-10,2020-09-11,-0.09814453125
2020-09-11,2020-09-14,-0.0169677734375
2020-09-14,2020-09-15,-0.01300048828125
2020-09-15,2020-09-16,0.00885009765625
2020-09-16,2020-09-17,-0.044189453125
2020-09-17,2020-09-18,0.1376953125
2020-09-18,2020-09-21,0.2373046875
2020-09-21,2020-09-22,0.09326171875
2020-09-22,2020-09-23,0.044189453125
2020-09-23,2020-09-24,0.006805419921875
2020-09-24,2020-09-25,-0.138671875
2020-09-25,2020-09-28,-0.1416015625
2020-09-28,2020-09-29,-0.392578125
2020-09-29,2020-09-30,-0.123046875
2020-09-30,2020-10-09,-0.193359375
2020-10-09,2020-10-12,0.267578125
2020-10-12,2020-10-13,0.6328125
2020-10-13,2020-10-14,0.5234375
2020-10-14,2020-10-15,0.734375
2020-10-15,2020-10-16,0.208984375
2020-10-16,2020-10-19,0.322265625
2020-10-19,2020-10-20,0.37890625
2020-10-20,2020-10-21,0.234375
2020-10-21,2020-10-22,0.296875
2020-10-22,2020-10-23,0.41015625
2020-10-23,2020-10-26,0.1982421875
2020-10-26,2020-10-27,0.04931640625
2020-10-27,2020-10-28,-0.0267333984375
2020-10-28,2020-10-29,-0.014892578125
2020-10-29,2020-10-30,0.138671875
2020-10-30,2020-11-02,-0.1220703125
2020-11-02,2020-11-03,0.068359375
2020-11-03,2020-11-04,0.298828125
2020-11-04,2020-11-05,0.271484375
2020-11-05,2020-11-06,-0.15234375
2020-11-06,2020-11-09,-0.234375
2020-11-09,2020-11-10,0.138671875
2020-11-10,2020-11-11,0.2060546875
2020-11-11,2020-11-12,0.01385498046875
2020-11-12,2020-11-13,0.06494140625
2020-11-13,2020-11-16,0.05078125
2020-11-16,2020-11-17,0.1923828125
2020-11-17,2020-11-18,-0.01171875
2020-11-18,2020-11-19,0.146484375
2020-11-19,2020-11-20,0.042236328125
2020-11-20,2020-11-23,0.52734375
2020-11-23,2020-11-24,0.50390625
2020-11-24,2020-11-25,0.66796875
2020-11-25,2020-11-26,0.5859375
2020-11-26,2020-11-27,0.60546875
2020-11-27,2020-11-30,0.3359375
2020-11-30,2020-12-01,0.5546875
2020-12-01,2020-12-02,0.333984375
2020-12-02,2020-12-03,0.466796875
2020-12-03,2020-12-04,0.5234375
2020-12-04,2020-12-07,0.4765625
2020-12-07,2020-12-08,0.1328125
2020-12-08,2020-12-09,0.51953125
2020-12-09,2020-12-10,0.345703125
2020-12-10,2020-12-11,0.0018768310546875
2020-12-11,2020-12-14,-0.04638671875
2020-12-14,2020-12-15,0.057373046875
2020-12-15,2020-12-16,0.2119140625
2020-12-16,2020-12-17,0.2490234375
2020-12-17,2020-12-18,0.298828125
2020-12-18,2020-12-21,0.150390625
2020-12-21,2020-12-22,0.162109375
2020-12-22,2020-12-23,0.23828125
2020-12-23,2020-12-24,0.2314453125
2020-12-24,2020-12-25,0.2236328125
2020-12-25,2020-12-28,0.22265625
2020-12-28,2020-12-29,-0.055908203125
2020-12-29,2020-12-30,0.00054168701171875
2020-12-30,2020-12-31,-0.0274658203125
2020-12-31,2021-01-04,0.0751953125
2021-01-04,2021-01-05,-0.142578125
2021-01-05,2021-01-06,0.2490234375
2021-01-06,2021-01-07,0.26171875
2021-01-07,2021-01-08,-0.0419921875
2021-01-08,2021-01-11,-0.2265625
2021-01-11,2021-01-12,-0.0322265625
2021-01-12,2021-01-13,-0.033203125
2021-01-13,2021-01-14,0.087890625
2021-01-14,2021-01-15,0.28125
2021-01-15,2021-01-18,0.4375
2021-01-18,2021-01-19,0.734375
2021-01-19,2021-01-20,0.388671875
2021-01-20,2021-01-21,0.380859375
2021-01-21,2021-01-22,0.5078125
2021-01-22,2021-01-25,0.47265625
2021-01-25,2021-01-26,0.5546875
2021-01-26,2021-01-27,0.451171875
2021-01-27,2021-01-28,0.11279296875
2021-01-28,2021-01-29,-0.1279296875
2021-01-29,2021-02-01,0.2099609375
2021-02-01,2021-02-02,0.216796875
2021-02-02,2021-02-03,0.1943359375
2021-02-03,2021-02-04,0.30078125
2021-02-04,2021-02-05,0.07568359375
2021-02-05,2021-02-08,-0.0245361328125
2021-02-08,2021-02-09,0.057373046875
2021-02-09,2021-02-10,0.6484375
2021-02-10,2021-02-18,0.30859375
2021-02-18,2021-02-19,0.53125
2021-02-19,2021-02-22,0.474609375
2021-02-22,2021-02-23,-0.11328125
2021-02-23,2021-02-24,-0.09716796875
2021-02-24,2021-02-25,-0.06494140625
2021-02-25,2021-02-26,-0.1357421875
2021-02-26,2021-03-01,0.26171875
2021-03-01,2021-03-02,-0.359375
2021-03-02,2021-03-03,-0.376953125
2021-03-03,2021-03-04,-0.0264892578125
2021-03-04,2021-03-05,-0.4765625
2021-03-05,2021-03-08,-0.85546875
2021-03-08,2021-03-09,-0.6328125
2021-03-09,2021-03-10,-0.66015625
2021-03-10,2021-03-11,-0.52734375
2021-03-11,2021-03-12,-0.64453125
2021-03-12,2021-03-15,-0.53515625
2021-03-15,2021-03-16,-0.494140625
2021-03-16,2021-03-17,-0.6171875
2021-03-17,2021-03-18,-0.484375
2021-03-18,2021-03-19,-0.1162109375
2021-03-19,2021-03-22,-0.3515625
2021-03-22,2021-03-23,-0.31640625
2021-03-23,2021-03-24,0.0224609375
2021-03-24,2021-03-25,0.1201171875
2021-03-25,2021-03-26,-0.279296875
2021-03-26,2021-03-29,-0.625
2021-03-29,2021-03-30,-0.48046875
2021-03-30,2021-03-31,-0.92578125
2021-03-31,2021-04-01,-0.66015625
2021-04-01,2021-04-02,-0.353515625
2021-04-02,2021-04-06,-0.33203125
2021-04-06,2021-04-07,-0.2158203125
2021-04-07,2021-04-08,-0.50390625
2021-04-08,2021-04-09,-0.478515625
2021-04-09,2021-04-12,-0.50390625
2021-04-12,2021-04-13,-0.2080078125
2021-04-13,2021-04-14,-0.1923828125
2021-04-14,2021-04-15,-0.1259765625
2021-04-15,2021-04-16,-0.04736328125
2021-04-16,2021-04-19,0.047119140625
2021-04-19,2021-04-20,-0.01495361328125
2021-04-20,2021-04-21,-0.28125
2021-04-21,2021-04-22,-0.294921875
2021-04-22,2021-04-23,-0.41015625
2021-04-23,2021-04-26,-0.369140625
2021-04-26,2021-04-27,-0.5234375
2021-04-27,2021-04-28,-0.7578125
2021-04-28,2021-04-29,-0.162109375
2021-04-29,2021-04-30,-0.234375
2021-04-30,2021-05-06,-0.275390625
2021-05-06,2021-05-07,-0.283203125
2021-05-07,2021-05-10,-0.326171875
2021-05-10,2021-05-11,-0.412109375
2021-05-11,2021-05-12,-0.2353515625
2021-05-12,2021-05-13,-0.00122833251953125
2021-05-13,2021-05-14,0.298828125
2021-05-14,2021-05-17,0.3515625
2021-05-17,2021-05-18,0.1689453125
2021-05-18,2021-05-19,0.14453125
2021-05-19,2021-05-20,0.328125
2021-05-20,2021-05-21,0.28515625
2021-05-21,2021-05-24,0.408203125
2021-05-24,2021-05-25,0.52734375
2021-05-25,2021-05-26,0.2890625
2021-05-26,2021-05-27,0.19921875
2021-05-27,2021-05-28,0.01373291015625
2021-05-28,2021-05-31,0.416015625
2021-05-31,2021-06-01,0.39453125
2021-06-01,2021-06-02,-0.134765625
2021-06-02,2021-06-03,0.220703125
2021-06-03,2021-06-04,-0.13671875
2021-06-04,2021-06-07,-0.236328125
2021-06-07,2021-06-08,-0.057861328125
2021-06-08,2021-06-09,-0.294921875
2021-06-09,2021-06-10,-0.486328125
2021-06-10,2021-06-11,-0.32421875
2021-06-11,2021-06-15,-0.421875
2021-06-15,2021-06-16,-0.5625
2021-06-16,2021-06-17,0.37890625
2021-06-17,2021-06-18,0.73046875
2021-06-18,2021-06-21,0.71484375
2021-06-21,2021-06-22,0.359375
2021-06-22,2021-06-23,0.224609375
