signal_date,available_date,LightGBM
2021-12-31,2022-01-04,0.007761140390337996
2022-01-04,2022-01-05,0.007621579418760536
2022-01-05,2022-01-06,0.007443903541021065
2022-01-06,2022-01-07,0.007443903541021065
2022-01-07,2022-01-10,0.007621579418760536
2022-01-10,2022-01-11,0.007621579418760536
2022-01-11,2022-01-12,0.007621579418760536
2022-01-12,2022-01-13,0.007621579418760536
2022-01-13,2022-01-14,0.007621579418760536
2022-01-14,2022-01-17,0.007621579418760536
2022-01-17,2022-01-18,0.0040450511313563624
2022-01-18,2022-01-19,0.0040450511313563624
2022-01-19,2022-01-20,0.007621579418760536
2022-01-20,2022-01-21,0.007621579418760536
2022-01-21,2022-01-24,0.007621579418760536
2022-01-24,2022-01-25,0.0040450511313563624
2022-01-25,2022-01-26,0.0040450511313563624
2022-01-26,2022-01-27,0.0040450511313563624
2022-01-27,2022-01-28,0.0040450511313563624
2022-01-28,2022-02-07,0.014207150625865294
2022-02-07,2022-02-08,0.01410645970120818
2022-02-08,2022-02-09,0.01410645970120818
2022-02-09,2022-02-10,0.01410645970120818
2022-02-10,2022-02-11,0.01410645970120818
2022-02-11,2022-02-14,0.01410645970120818
2022-02-14,2022-02-15,0.01410645970120818
2022-02-15,2022-02-16,0.0036117336752106307
2022-02-16,2022-02-17,0.0036117336752106307
2022-02-17,2022-02-18,-0.005313262729140626
2022-02-18,2022-02-21,0.01410645970120818
2022-02-21,2022-02-22,0.01410645970120818
2022-02-22,2022-02-23,0.01410645970120818
2022-02-23,2022-02-24,0.0036117336752106307
2022-02-24,2022-02-25,0.0036117336752106307
2022-02-25,2022-02-28,0.0036117336752106307
2022-02-28,2022-03-01,0.01410645970120818
2022-03-01,2022-03-02,0.014169416801603059
2022-03-02,2022-03-03,0.014169416801603059
2022-03-03,2022-03-04,0.014169416801603059
2022-03-04,2022-03-07,0.014169416801603059
2022-03-07,2022-03-08,0.014169416801603059
2022-03-08,2022-03-09,0.014169416801603059
2022-03-09,2022-03-10,0.014169416801603059
2022-03-10,2022-03-11,0.014169416801603059
2022-03-11,2022-03-14,0.014169416801603059
2022-03-14,2022-03-15,0.014169416801603059
2022-03-15,2022-03-16,0.014169416801603059
2022-03-16,2022-03-17,0.014169416801603059
2022-03-17,2022-03-18,0.003711443221356779
2022-03-18,2022-03-21,0.014169416801603059
2022-03-21,2022-03-22,-0.004075188628807794
2022-03-22,2022-03-23,0.014169416801603059
2022-03-23,2022-03-24,0.014169416801603059
2022-03-24,2022-03-25,0.014169416801603059
2022-03-25,2022-03-28,0.014169416801603059
2022-03-28,2022-03-29,0.014169416801603059
2022-03-29,2022-03-30,0.014169416801603059
2022-03-30,2022-03-31,0.014169416801603059
2022-03-31,2022-04-01,0.014169416801603059
2022-04-01,2022-04-06,0.013799476949755819
2022-04-06,2022-04-07,0.013799476949755819
2022-04-07,2022-04-08,0.013799476949755819
2022-04-08,2022-04-11,0.013799476949755819
2022-04-11,2022-04-12,0.013799476949755819
2022-04-12,2022-04-13,0.013799476949755819
2022-04-13,2022-04-14,0.013799476949755819
2022-04-14,2022-04-15,0.013799476949755819
2022-04-15,2022-04-18,0.013799476949755819
2022-04-18,2022-04-19,0.013799476949755819
2022-04-19,2022-04-20,0.013799476949755819
2022-04-20,2022-04-21,0.013799476949755819
2022-04-21,2022-04-22,0.013799476949755819
2022-04-22,2022-04-25,0.013799476949755819
2022-04-25,2022-04-26,0.013799476949755819
2022-04-26,2022-04-27,0.013799476949755819
2022-04-27,2022-04-28,0.013799476949755819
2022-04-28,2022-04-29,0.013799476949755819
2022-04-29,2022-05-05,0.009023833899057206
2022-05-05,2022-05-06,0.008894385694279304
2022-05-06,2022-05-09,0.008894385694279304
2022-05-09,2022-05-10,0.022215336473701334
2022-05-10,2022-05-11,0.0013597982286088607
2022-05-11,2022-05-12,0.008894385694279304
2022-05-12,2022-05-13,0.008894385694279304
2022-05-13,2022-05-16,0.008894385694279304
2022-05-16,2022-05-17,0.008894385694279304
2022-05-17,2022-05-18,0.0013597982286088607
2022-05-18,2022-05-19,0.008894385694279304
2022-05-19,2022-05-20,0.008894385694279304
2022-05-20,2022-05-23,0.008894385694279304
2022-05-23,2022-05-24,0.007455505758653044
2022-05-24,2022-05-25,0.007455505758653044
2022-05-25,2022-05-26,0.007455505758653044
2022-05-26,2022-05-27,0.007455505758653044
2022-05-27,2022-05-30,0.007455505758653044
2022-05-30,2022-05-31,0.007455505758653044
2022-05-31,2022-06-01,0.008894385694279304
2022-06-01,2022-06-02,0.008198548964347881
2022-06-02,2022-06-06,0.008198548964347881
2022-06-06,2022-06-07,0.008198548964347881
2022-06-07,2022-06-08,0.008198548964347881
2022-06-08,2022-06-09,0.008198548964347881
2022-06-09,2022-06-10,0.013984934597161052
2022-06-10,2022-06-13,0.008198548964347881
2022-06-13,2022-06-14,0.008198548964347881
2022-06-14,2022-06-15,0.013984934597161052
2022-06-15,2022-06-16,0.013984934597161052
2022-06-16,2022-06-17,0.013984934597161052
2022-06-17,2022-06-20,0.013984934597161052
2022-06-20,2022-06-21,0.008198548964347881
2022-06-21,2022-06-22,0.013984934597161052
2022-06-22,2022-06-23,0.013984934597161052
2022-06-23,2022-06-24,0.013984934597161052
2022-06-24,2022-06-27,0.008198548964347881
2022-06-27,2022-06-28,0.008198548964347881
2022-06-28,2022-06-29,0.013984934597161052
2022-06-29,2022-06-30,0.013984934597161052
2022-06-30,2022-07-01,0.013984934597161052
2022-07-01,2022-07-04,0.013933394533557127
2022-07-04,2022-07-05,0.013933394533557127
2022-07-05,2022-07-06,0.013933394533557127
2022-07-06,2022-07-07,0.008268942667547304
2022-07-07,2022-07-08,0.008268942667547304
2022-07-08,2022-07-11,0.013933394533557127
2022-07-11,2022-07-12,0.013933394533557127
2022-07-12,2022-07-13,0.013933394533557127
2022-07-13,2022-07-14,0.013933394533557127
2022-07-14,2022-07-15,0.008268942667547304
2022-07-15,2022-07-18,0.008268942667547304
2022-07-18,2022-07-19,0.013933394533557127
2022-07-19,2022-07-20,-0.000935492160851435
2022-07-20,2022-07-21,0.008268942667547304
2022-07-21,2022-07-22,0.008268942667547304
2022-07-22,2022-07-25,0.008268942667547304
2022-07-25,2022-07-26,0.008268942667547304
2022-07-26,2022-07-27,-0.000935492160851435
2022-07-27,2022-07-28,-0.000935492160851435
2022-07-28,2022-07-29,-0.000935492160851435
2022-07-29,2022-08-01,0.003475493341989713
2022-08-01,2022-08-02,0.004215635487274043
2022-08-02,2022-08-03,2.4020198467858715e-06
2022-08-03,2022-08-04,2.4020198467858715e-06
2022-08-04,2022-08-05,2.4020198467858715e-06
2022-08-05,2022-08-08,2.4020198467858715e-06
2022-08-08,2022-08-09,0.004215635487274043
2022-08-09,2022-08-10,0.004215635487274043
2022-08-10,2022-08-11,-0.016211078443058746
2022-08-11,2022-08-12,-0.012688490121367
2022-08-12,2022-08-15,-0.005569989253778316
2022-08-15,2022-08-16,-0.005569989253778316
2022-08-16,2022-08-17,-0.005569989253778316
2022-08-17,2022-08-18,-0.012688490121367
2022-08-18,2022-08-19,-0.012688490121367
2022-08-19,2022-08-22,2.4020198467858715e-06
2022-08-22,2022-08-23,2.4020198467858715e-06
2022-08-23,2022-08-24,2.4020198467858715e-06
2022-08-24,2022-08-25,2.4020198467858715e-06
2022-08-25,2022-08-26,2.4020198467858715e-06
2022-08-26,2022-08-29,0.011448395437056225
2022-08-29,2022-08-30,0.011448395437056225
2022-08-30,2022-08-31,0.018346781103974835
2022-08-31,2022-09-01,0.018346781103974835
2022-09-01,2022-09-02,0.05610712624371934
2022-09-02,2022-09-05,0.058733374978573706
2022-09-05,2022-09-06,0.058733374978573706
2022-09-06,2022-09-07,0.058733374978573706
2022-09-07,2022-09-08,-0.0376280681845275
2022-09-08,2022-09-09,-0.03492335964430948
2022-09-09,2022-09-13,-0.02061421565843257
2022-09-13,2022-09-14,0.0439350106255932
2022-09-14,2022-09-15,0.06326046900690883
2022-09-15,2022-09-16,0.06326046900690883
2022-09-16,2022-09-19,0.06087283919806104
2022-09-19,2022-09-20,0.057924024110679755
2022-09-20,2022-09-21,0.06326046900690883
2022-09-21,2022-09-22,0.057924024110679755
2022-09-22,2022-09-23,0.06326046900690883
2022-09-23,2022-09-26,0.06326046900690883
2022-09-26,2022-09-27,-0.008270083358047867
2022-09-27,2022-09-28,0.06326046900690883
2022-09-28,2022-09-29,0.06326046900690883
2022-09-29,2022-09-30,0.02474910006004606
2022-09-30,2022-10-10,0.06326046900690883
2022-10-10,2022-10-11,0.04875322368001272
2022-10-11,2022-10-12,0.04875322368001272
